name,description,category,usability,license,language,features,tags,link,icon
Humata,Análise e compreensão de documentos,🔍 Análise,4,Gratuito e Pago,EN,"Extração inteligente de informações de documentos, Respostas a perguntas baseadas em documentos, Sumarização automática, Análise de contratos e documentos legais, Processamento de múltiplos formatos de arquivo","Análise de Documentos, Automação",https://www.humata.ai/,https://pbs.twimg.com/profile_images/1703895347393699840/KFLcQs1M_400x400.jpg
Chatbase,Construção de chatbots personalizados,💬 Comunicação,4,Gratuito e Pago,EN,"Criação de chatbots sem código, Treinamento personalizado com dados próprios, Integração com websites, Análise de conversas, Personalização de respostas, Sistema de feedback integrado","Chatbots, Atendimento",https://www.chatbase.co/,https://www.chatbase.co/images/chatbase-logo.svg
Promptpal,Compartilhamento e gerenciamento de prompts de IA,📝 Conteúdo,4,Gratuito,EN,"Biblioteca de prompts prontos, Categorização por tipo de uso, Sistema de avaliação de prompts, Compartilhamento comunitário, Personalização de prompts","Prompts, Automação",https://www.promptpal.net/br,https://cdn-1.webcatalog.io/catalog/promptpal/promptpal-icon-filled-256.webp?v=1714780825377
ListenMonster,Transcrição de áudio para texto,💬 Comunicação,4,Gratuito,EN,"Transcrição automática, Suporte a múltiplos idiomas, Reconhecimento de múltiplos falantes, Exportação em diversos formatos, Edição de transcrições","Transcrição, Áudio",https://www.listenmonster.com/,https://cdn-1.webcatalog.io/catalog/listen-monster/listen-monster-icon-filled-256.png?v=1722863198701
Ideogram,Geração de imagens a partir de texto,🎨 Design,4,Gratuito,EN,"Criação de imagens personalizadas, Diferentes estilos artísticos, Ajuste de parâmetros visuais, Geração em batch, Exportação em alta resolução","Imagens, Arte",https://ideogram.ai/,https://digino.org/wp-content/uploads/2023/12/ideogram-ai-logo.png
Magic Studio,Edição automatizada de imagens,🎨 Design,4,Gratuito e Pago,Multilíngue,"Remoção de fundos, Redimensionamento inteligente, Correção de cores, Melhoria de qualidade, Geração de variações","Imagens, Automação",https://magicstudio.com/pt/,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSgtH5bQuqO2_7hKIUZvBhaDGcYI5M9zxxhJhm8mr53ZSAKEyzqRcj7MWSyNZHRcxV6WME&usqp=CAU
Postwise,Gestão de conteúdo para redes sociais,📝 Conteúdo,4,Pago,EN,"Geração automática de posts, Agendamento inteligente, Análise de engajamento, Otimização de hashtags, Sugestões de conteúdo","Redes Sociais, Automação",https://postwise.ai/,https://cdn-1.webcatalog.io/catalog/postwise/postwise-icon-filled-256.png?v=1714782939491
Midjourney,Geração de arte digital,🎨 Design,3,Pago,EN,"Criação de imagens artísticas, Diferentes estilos e técnicas, Alta resolução, Personalização avançada, Variações de imagens","Arte, Design",https://www.midjourney.com/,https://upload.wikimedia.org/wikipedia/commons/2/24/Midjourney_Emblem.svg
ReplyMind,Automação de respostas em redes sociais,💬 Comunicação,3,Gratuito e Pago,EN,"Respostas automáticas personalizadas, Análise de sentimento, Priorização de mensagens, Monitoramento de menções, Relatórios de engajamento","Redes Sociais, Automação",https://www.replymind.com/,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR2JDE933rFRZkxL6oCx5OW8fsPIhGPs7CU3g&s
Suno,Geração de música,🎥 Vídeo,4,Gratuito e Pago,Multilíngue,"Criação de músicas originais, Músicas livres de royalties, Diferentes gêneros e estilos, Ajuste de duração e ritmo, Exportação em diversos formatos","Música, Áudio",https://suno.com/,https://img.alicdn.com/imgextra/i3/2216045781517/O1CN01XjlCbk1N4plcY5u1y_!!2-item_pic.png
Adobe FireFly,Criação e edição de conteúdo visual,🎨 Design,4,Gratuito,EN,"Geração de imagens, Edição de fotos, Criação de texturas, Manipulação de cores, Efeitos especiais","Imagens, Design",https://firefly.adobe.com/inspire/images?ff_channel=adobe_com&ff_campaign=ffly_homepage&ff_source=firefly_seo,https://firefly.adobe.com/imgs/firefly_appicon_mobile.2c11f10a.svg
Supertools,Suite de ferramentas de criação de conteúdo,📝 Conteúdo,3,Gratuito,Multilíngue,"Edição de texto, Criação de imagens, Geração de código, Análise de dados, Automação de tarefas","Automação, Criação de Conteúdo",https://supertools.therundown.ai/,https://assets.super.so/9b1db7dc-155d-4da6-bf88-a68ad1c2af0f/uploads/favicon/f4df662c-f46b-41d1-8e0c-9d0ef23e6a93.png
OpenArt,Plataforma de arte digital,🎨 Design,4,Gratuito,EN,"Geração de imagens artísticas, Galeria comunitária, Compartilhamento de prompts, Coleções personalizadas, Exportação em alta qualidade","Imagens, Arte",https://openart.ai/,https://cdn.prod.website-files.com/6600e1eab90de089c2d9c972/661592239b560b13e5156fa7_Logo_dark.svg
Rytr,Assistente de escrita,📝 Conteúdo,4,Gratuito e Pago,EN,"Geração de textos, Correção gramatical, Sugestões de estilo, Múltiplos idiomas, Templates prontos","Escrita, Automação",https://rytr.me/,https://images.g2crowd.com/uploads/product/image/social_landscape/social_landscape_9f8df7c21faf1372a87be5c4c02dab65/rytr.png
ChatGPT,Assistente conversacional,🤖 Automação,5,Gratuito e Pago,Multilíngue,"Respostas em linguagem natural, Auxílio em programação, Análise de texto, Tradução, Explicações didáticas","Conversação, Automação, Chatbot",https://chat.openai.com/,https://upload.wikimedia.org/wikipedia/commons/thumb/0/04/ChatGPT_logo.svg/2048px-ChatGPT_logo.svg.png
Claude,Assistente avançado de IA,🤖 Automação,5,Gratuito e Pago,Multilíngue,"Análise complexa, Processamento de documentos, Auxílio em pesquisa, Programação assistida, Redação avançada","Análise, Automação, Chatbot",https://claude.ai/,https://claude.ai/images/claude_app_icon.png
Gemini,Assistente avançado de IA e Assistente Google,🤖 Automação,5,Gratuito,Multilíngue,"Análise complexa, Processamento de documentos, Auxílio em pesquisa, Programação assistida, Redação avançada","Linguística, Automação, Chatbot",https://gemini.google.com/app?hl=pt-BR,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcThr7qrIazsvZwJuw-uZCtLzIjaAyVW_ZrlEQ&s
IBM Watson,Plataforma de IA para automação e processamento de linguagem natural,🤖 Automação,3,Gratuito e Pago,Multilíngue,"Análise de texto multilingue, Criação de assistentes virtuais, Extração de informações, Classificação de texto, Tradução automática","Linguística, Automação, Chatbot",https://www.ibm.com/br-pt/watson,https://www.ibm.com/favicon.ico
VideoGen,Edição e criação de vídeo,🎥 Vídeo,3,Gratuito,EN,"Edição automática, Efeitos especiais, Remoção de fundo, Geração de vídeo, Motion tracking","Vídeo, Edição",https://videogen.io/?via=runway,https://atai-main.b-cdn.net/tools/videogen-icon.png
